施設名,住所,施設ID,緯度,経度
くれさかの森陶芸工房,〒377-1311  群馬県吾妻郡中之条町赤岩1369-42,F0147,36.59638,138.653922
からっ風焼 陶仙房,〒370-3606  群馬県北群馬郡吉岡町上野田152－1,F0148,36.456016,139.0032688
一般社団法人 安中市観光機構,〒379-0301  群馬県安中市松井田町横川441-6,F0149,36.3370125,138.7342365
月夜野焼 祐太郎窯,〒379-1303  群馬県利根郡みなかみ町上牧2331,F0150,36.7396298,138.9846301
月夜野びーどろパーク,取得失敗,F0151,36.697636,138.981245
カッパCLUB,〒379-1614  群馬県利根郡みなかみ町寺間18,F0152,36.7466266,138.9727194
工房無限大,〒377-0601  群馬県吾妻郡中之条町四万4237－42,F0153,36.684028,138.7761791
水沼駅温泉センター,〒376-0141  群馬県桐生市黒保根町水沼120-1,F0154,36.4997193,139.2774619
ジャグスポーツ,〒379-1725  群馬県利根郡みなかみ町綱子145－1,F0155,36.8028235,139.0017698
菅沼キャンプ村,〒378-0414  群馬県利根郡片品村東小川4655-17,F0156,36.8229565,139.3790806
草津温泉らくご,〒377-1711  群馬県吾妻郡草津町白根750,F0157,36.6227418,138.5962956
奥四万湖,〒377-0601  群馬県吾妻郡中之条町四万,F0158,36.70136,138.78417
榛名山（榛名富士）,〒370-3348  群馬県高崎市榛名湖町,F0159,36.4769619,138.8783551
チャツボミゴケ公園,〒377-1701  群馬県吾妻郡中之条町入山字西山13-3,F0160,36.6528362,138.5971234
赤城山,〒371-0000  群馬県前橋市富士見町,F0161,36.5389572,139.1664295
高原キャベツ畑,〒377-1614  群馬県吾妻郡嬬恋村大字田代,F0162,36.5054917,138.4589737
野反湖,〒377-1701  群馬県吾妻郡中之条町大字入山,F0163,36.7075706,138.6464068
榛名湖畔,〒370-3348  群馬県高崎市榛名湖町観光案内所付近,F0164,36.4763945,138.8674138
大沼,〒371-0101  群馬県前橋市富士見町赤城山,F0165,41.9987492,140.6903742
妙義山,〒370-2300  群馬県富岡市妙義町／下仁田町／安中市,F0166,36.2986013,138.7488767
国指定名勝「吾妻峡」,〒377-0800  群馬県吾妻郡東吾妻町,F0167,36.5623182,138.7212628
四万川,〒377-0601  群馬県吾妻郡中之条町四万,F0168,36.646119,138.7984018
嫗仙の滝,〒377-1701  群馬県吾妻郡草津町大字草津,F0169,36.6072794,138.6180763
浅間山,〒377-1512  群馬県吾妻郡嬬恋村大字鎌原,F0170,36.4076356,138.5206855
白根山,〒377-1701  群馬県吾妻郡草津町大字草津,F0171,36.7986668,139.3759115
赤谷湖,〒379-1404  群馬県利根郡みなかみ町相俣,F0172,36.7217073,138.8913246
尾瀬沼,〒378-0400  群馬県利根郡片品村,F0173,36.9225376,139.3022019
伊香保温泉街,〒377-0102  群馬県渋川市伊香保町伊香保,F0174,36.4981947,138.9165884
天神平,〒379-1728  群馬県利根郡みなかみ町湯桧曽,F0175,36.8179474,138.9482331
四万湖,〒377-0601  群馬県吾妻郡中之条町四万,F0176,36.6261497,138.7937003
諏訪峡,〒379-1612  群馬県利根郡みなかみ町小日向他,F0177,36.7599965,138.9729343
丸沼,〒378-0414  群馬県利根郡片品村東小川,F0178,36.8261913,139.3437425
