駅名,緯度,経度
田園調布,35.59795,139.66726
反町,35.47491,139.6254
綱島,35.53717,139.6351
元住吉,35.5663,139.655
武蔵小杉,35.57663,139.66006
菊名,35.51127,139.63118
新丸子,35.581,139.6622
東白楽,35.4831,139.62963
白楽,35.48912,139.62779
妙蓮寺,35.49842,139.63327
沼部,35.58275,139.6729
武蔵新田,35.56797,139.69212
矢口渡,35.5626,139.69994
鵜の木,35.57563,139.68031
下丸子,35.57149,139.68514
目黒,35.6332,139.71542
不動前,35.62522,139.71279
洗足,35.60975,139.69377
奥沢,35.60383,139.67197
西小山,35.61513,139.69845
武蔵小山,35.6202,139.70392
仲御徒町,35.7074,139.77626
入谷,35.72131,139.78504
上野,35.71199,139.77764
三ノ輪,35.7299,139.79182
神谷町,35.66206,139.74419
銀座,35.67155,139.76464
広尾,35.6506,139.72226
東銀座,35.66977,139.76691
霞ヶ関,35.67452,139.75144
人形町,35.6869,139.78179
茅場町,35.67976,139.78005
六本木,35.66235,139.73025
小伝馬町,35.69112,139.77817
築地,35.66854,139.77326
日比谷,35.67476,139.75989
恵比寿,35.64646,139.70808
末広町,35.70319,139.77181
上野広小路,35.70838,139.77315
虎ノ門,35.67,139.75056
外苑前,35.67016,139.71725
溜池山王,35.67187,139.74139
青山一丁目,35.67247,139.72318
赤坂見附,35.67621,139.73773
三越前,35.68671,139.77378
表参道,35.66431,139.7118
後楽園,35.70734,139.75164
御茶ノ水,35.70069,139.76355
本郷三丁目,35.70728,139.7595
新高円寺,35.69788,139.64926
南阿佐ヶ谷,35.69918,139.63624
荻窪,35.70419,139.62077
茗荷谷,35.71758,139.73649
新中野,35.6975,139.67029
東高円寺,35.69787,139.659
新大塚,35.72652,139.7288
中野坂上,35.69701,139.68284
国会議事堂前,35.67429,139.74455
淡路町,35.69535,139.76746
四谷三丁目,35.68793,139.72037
四ツ谷,35.68326,139.73009
西新宿,35.69428,139.6932
新宿三丁目,35.69087,139.70489
新宿御苑前,35.68834,139.71185
中野新橋,35.69207,139.67448
方南町,35.68367,139.65867
中野富士見町,35.69089,139.6689
原木中山,35.70264,139.94123
妙典,35.69029,139.92343
飯田橋,35.70182,139.74579
落合,35.7109,139.68706
神楽坂,35.70367,139.73566
早稲田,35.70558,139.72333
門前仲町,35.67146,139.7971
木場,35.66938,139.80591
九段下,35.69698,139.75101
竹橋,35.69028,139.75852
葛西,35.66354,139.87396
南砂町,35.66881,139.83048
行徳,35.68194,139.91336
南行徳,35.67339,139.90306
西葛西,35.66471,139.85786
東陽町,35.66966,139.81892
西船橋,35.70671,139.95979
本駒込,35.72517,139.75366
西ヶ原,35.74557,139.74263
駒込,35.73648,139.7466
東大前,35.71893,139.7574
王子,35.75355,139.73779
志茂,35.77728,139.73303
王子神谷,35.76418,139.73597
永田町,35.67878,139.73822
麻布十番,35.65554,139.73715
市ヶ谷,35.69417,139.73766
六本木一丁目,35.66579,139.73902
白金高輪,35.64385,139.73469
千川,35.73884,139.68851
地下鉄成増,35.776,139.63258
東池袋,35.72659,139.71787
江戸川橋,35.70964,139.73315
氷川台,35.75005,139.6645
護国寺,35.72003,139.72705
要町,35.73342,139.69736
地下鉄赤塚,35.76909,139.64552
和光市,35.78877,139.61182
新富町,35.67016,139.77451
麹町,35.6856,139.73699
有楽町,35.67623,139.76108
月島,35.66522,139.78386
桜田門,35.67772,139.75296
銀座一丁目,35.67508,139.76591
辰巳,35.64531,139.81103
新木場,35.64564,139.82535
西日暮里,35.73281,139.76785
千駄木,35.7266,139.76356
新御茶ノ水,35.69759,139.76576
